company name,contact number,area,product category 1,product category 2,product category 3,company description
"KAS Medical  Center, Best Breast Surgery India (Bestbreastsurgeryindia .com)",tel:+91 +919958221982 9958221981,Delhi - India,Hospitals and clinics,Plastic surgery and/or cosmetic surgery clinics,,"Best breast surgery delhi, india, Breast reduction surgery, Breast augmentation, Breast implant, Gynecomastia and other Breast surgery. Board certified doctor and the best Breast Surgery hospitals in India and is specialized in all types of Breast Surgery treatments...."
Cabot Electronics Private Limited,tel:+91 9910396031,Delhi - India,Electrical equipment. Nuclear equipment,Circuit breakers,Electric switches...,"Traders and Importers of Switchgears and its Allied Products. The subject is an authorized distributor of Schneider Electric, Rishabh Instruments, Bussmann circuit Protection solutions, HPL Group, Lapp Kabel."
Unotech Engineering LLP,tel:+91 11 23312221,New delhi - India,Rubber-to-metal bonded products,Rubber products,"Ball joints, rubber-to-metal bonded...",Manufacturer and supplier of precision components & after-market spares. 1. Locomotive parts supplier India 2. Locomotive engine bearings 3. ALCO Locomotive Spare Parts 4. EMD Locomotive Spare Parts 5. Bearings & Bushes 6. Crankshafts 7. Connecting Rod 8. Engine Bearings 9. Engine Bushings 1...
ITPL International Links,tel:+91 11 23312221,New delhi - India,Real estate consultants,"Property development, management and sales services",Foreign representative offices...,ITPL International Links is part of the ITPL India Group. It is involved in the following activities: 1. Real Estate Development & Brokerage 2. Education Consulting 3. Investment Consulting. 4. Overseas Investment Consulting. 5. International Trade 6. Market Entry 7. Pharmaceuticals & Health...
"Grovention, Digital Growth Agency",tel:+91 9582862238,Burari - India,Internet services,Website development services,Marketing and merchandising consultants...,"Grovention is a digital growth marketing agency that helps businesses build an online presence with a powerful website and market it to the target audience through engaging marketing campaigns. Kick-started in 2018, we have worked with some amazing startups and enterprise clients to improve their we..."
Party Events Planner,tel:+91 9315729810,New delhi - India,After sales services,,,"Birthday Party Planner | We are Birthday Party Planner, Theme Party Planner and Anniversary Party Planner in Delhi, Haryana, Gurugram, Noida, Faridabad, Ghaziabad, NCR and North India. We arrange your birthday party according to your taste. We have all kinds of setup like Magician on Rent, Magic Sho..."
"Visa and Immigration Consultancy Services Delhi, Visa And Immigration Consultancy Services Delhi (Visa And Immigration Consultancy Services Delhi)",tel:+91 9999999999,Delhi - India,Export consultants and services,Passport and visa procurement services,Information technology (IT) outsourcing services...,Visa Solutions Service is one of India's leading immigration consultancies in India. Our Immigration Services are designed to provide comprehensive information about the immigration process so that our clients can make well-informed decisions.
"MM Enterprises, Global HR Services Company",tel:+91 9310081163,New delhi - India,Management services,Accounting services,Human resources (HR) consultants...,"MME is one of the leading Human Resource (HR) Company in India providing complete HR solutions to prestigious companies. Our services is professional employer organization and top management staff, Payroll outsourcing services, Staffing services, International recruitment consultants, Employer Of Re..."
Indian Cork Industries,tel:+91 11 26102659,New delhi - India,"Timber, wooden products, machinery and equipment for the woodworking industry","Cork, cut cork and products derived from cork","Cork, crushed, granulated or ground...","Manufacturer, Importer & Exporter of Cork Sheet, Cork Stoppers, Rubbcrisied Cork Sheet, Granulated cork, Anti Vibration Cork Slab etc."
Pavitra Jyotish Kendra,tel:+91 9582192381,New delhi - India,"Religious articles, Buddhist and Hindu",,,"PavitraJyotish - Pt Umesh Chandra Pant the most well-known name in astrology that aims to provide all astrological services imaginable. Among these are horoscope predictions and reading, life reading as well as the provision of beneficial suggestions and remedies, according to the horoscopes, that h..."
Mohindra Fasteners Limited,tel:+91 11 46200400,Delhi - India,"Hardware, ironmongery, cutlery and tools","Screws, non-turned, metal","Screws, steel, non-turned...","Mohindra Fasteners Limited is a Two Star Export House & An ISO 9001 2000 Certified Company.A Reliable Partner for Fasteners Requirement. Leading Reputed Manufacturer & Exporters of a wide range of Cold and Hot Forged Fasteners, industrial fasteners like Bolts, Studs, Screws, Special fastener..."
Cospack India,tel:+91 11 47073169,New delhi - India,"Bottles and packaging tubes, plastic",Plastic products,"Bottles, plastic, co-extruded...","Manufacturers, Suppliers and Importers of Packaging Plastic Bottles such as Acrylic Containers, Pet Containers, Petroleum Jelly Containers, Cosmetic Containers, Lid Containers, Plastic Jars, Small Plastic Jars, Pill Bottles, Lotion Bottles, Cosmetic Bottles...."
International Tractors Limited,tel:+91 7717308282,New delhi - India,Agricultural tractors,"Tractors, crawler, agricultural","Tractors, half-track, agricultural...","WORLD'S NO.1 INTEGRATED MANUFACTURING PLANTPOWERED BY ROBOTICS AND AUTOMATIONSonalika, a leading tractor company, manufacturer & exporter with presence in more than 130+ countries, caters to the global demands of agri mechanization through its World No.1 Integrated Tractor Manufacturing Plant in..."
Iota International,tel:+91 11 43541048,New delhi - India,Security equipment,Smoke and fire detectors and alarms,"Fire alarm systems, manual...","Manufacturers and Exporters of Electronic Siren, Piezo Siren, Beacon lights, Spoken Alarm, Metal Body Sirens, Strobe Lights, Signals, Audio-Visual Products, Accessories, P. A System, Wireless Security Alarm, Power Supplies and Other Products."
"DCC - Zero Waste Recycler, DCC, initiative waste Recycle is the largest waste management solution in India (DCC, initiative waste Recycle is the largest waste management solution in India. We have Manufacturers of Municipal Solid Waste processing plants and equipment such as Trommel, Ballistic Separator, Complete Manufacturing Waste Segregation Machine and other Biomining Projects. We strategize to bring in environmental solutions that can help the communities and organizations to become sustainable. Community Waste Management is been specially categorized for communities where both dry and wet waste is been found.)",tel:+91 7290049003,New delhi - India,Domestic and industrial waste management consultants,Solid waste disposal consultants,Solid waste management consultants...,"DCC, initiative waste Recycle is the largest waste management solution in India. We have Manufacturers of Municipal Solid Waste processing plants and equipment such as Trommel, Ballistic Separator, Complete Manufacturing Waste Segregation Machine and other Biomining Projects. We strategize to bring..."
Alar Impex Private Limited,tel:+91 11 23747526,New delhi - India,Agricultural and forestry machinery and equipment,Aquaculture and aquaponics equipment,Dredging equipment for oysters and scallops,"Alar Impex Private Limited Is Supplier, Exporter & Importer Of Trade Engineering Goods, Marine Products, Crafts & Handling Equipments, Dredging, Dredge Equipments, Marine Equipments.ALAR® Group has several companies working together or independently for a common purpose viz. infrastructure d..."
Godolo & Godolo Export Private Limited,tel:+91 11 40567479,New delhi - India,Textiles,"Fabrics, man-made fibres, by use","Fabrics, man-made fibre, for interlinings...","Godolos success story began in 1989. With the persistent effort of each individual, the small but united team gradually spread to over all main cities in India & Bangladesh employing over a hundred people. Today, godolo has made a mark for itself and revolutionized the garment trim industry in I..."
Jaibros Tools,tel:+91 11 47057976,Delhi - India,Machinery and equipment for metalworking,Tables for metalworking machine tools,"Tables, rotary, computer numerical controlled (CNC) for machine tools, metalworking...","Established in the year 2008, we, 'Jaibros Tools , are an accredited importer of a remarkable range of CNC machine tools and accessories. These products are developed by diligent professionals with utmost precision using excellent quality material and advanced technology at our vendor's end. To meet..."
Simran Export Inc.,tel:+91 11 47051801,New delhi - India,Natural resins,Chemical base materials,"Resins, natural, accaroid/gum accroides/yacca gum...",Simran Export Inc. presents a whole new experience in a myraid fragrances. Fragrances and aromas from the exotic orient to the enchanting west. The Simran repertoire of incenses and fragrances is amazing in terms of its range and aesthetic packing. Each Simran product is the result of years of in-ho...
EASTGATE EXPORT PVT LTD,tel:+91 8826061240,New delhi - India,Clothing and footwear,Fashion houses,"Ready-made clothes, luxury...","Manufacturer, supplier and exporter of a wide variety of agriculture products and readymade garments, handicrafts, ladies bag, ceramic tiles."
Pollution Equipment & Controls,tel:+91 11 25532224,New delhi - India,Radio direction finding (RDF) equipment,Electronic equipment. Telecommunications equipment,Radars and radar components...,"PEC has been in the forefront of meeting the challenges in the field of environmental monitoring applications by providing the latest state of art technological equipment with appropriate solutions. We specialize in the turnkey projects and its solutions in the field of Meteorology, Hydrology, Air &..."
FlipFlow India,tel:+91 011 9315706428,Delhi - India,,,,
Rai Industrial Power Private Limited,tel:+91 11 49126700,New delhi - India,Electric generator sets,Electrical equipment. Nuclear equipment,Electric power supplies...,"Manufacturer and supplier of gensets, engines and UPS. Provides turnkey power solutions, operation and maintenance support, CPP relocation services and rentals services."
Microtek International Private Limited,tel:+91 11 71255500,New delhi - India,"Accumulators, batteries and secondary cells","Batteries, accumulators, lead-acid (lead)","Batteries, accumulators, lead-calcium...","Microtek is a renowned player in the power product market of India. India's Most Trusted & Preferred Brand.Microtek International is India's Largest & No.1 Power Products Manufacturers & Exporter of wide range of products includes Power Backup solutions, Premium Home UPS, Uninterruptible..."
Anil Agencies Private Limited,tel:+91 11 41704555,New delhi - India,"Paper articles, die-cut and embossed",Paper and board,Paper products for cookery and bakery,"Anil Agencies came into existence 5 decades ago carrying a rich experience and expertise in the field of Paper, rigid board and allied products covering the length and breadth of the country. The range of products that we offer consists of IN PRESS, POST PRESS AND COVERING RANGE. These products are..."
SJM International Limited,tel:+91 11 25183888,Delhi - India,"Leathers, furs and their products","Skins, hides and leathers, ovine (sheep), caprine (goat) and deer","Rawhides and leathers, goat, sheep and deerskin...","SJM is a Govt. of India recognized Export House specializing in manufacturing and export of leather and leather apparels. Established in the year 1987 and headquarter in New Delhi, SJM has made it’s mark in the global market by earning a reputation of delivering excellent quality, competitive prices..."
Princessa Overseas Private Limited,tel:+91 11 41539511,New delhi - India,Rubber products,Rubber and rubber proofed sheets,"Sheet, synthetic rubber...","Princessa Overseas Pvt. Ltd. is a professionally managed, closely held, family owned company that was incorporated in 1999 by promoters who already had over three decades of experience in the field of cosmetics and printing. Princessa was formed to provide world class printing and cosmetics solution..."
Airfilt Technologies Private Limited,tel:+91 11 25162302,New delhi - India,Textiles,Fabrics for industrial use NES,"Fabrics, industrial, for ventilation hoses...","Manufacturer and exporter of dust collating system, pulse jet bag filters, cyclones, multi cyclones, unit bag filters, wet scrubbers, dust proofing, pressurising units, spray booths, centrifugal blowers, axial flow fans, evaporative coolers, industrial ventilation...."
Advanta International Limited,tel:+91 11 25477232,New delhi - India,"Hardware, ironmongery, cutlery and tools","Kitchen articles and tableware, metal","Kitchenware, stainless steel...","Manufacturer, importer and exporter of cooker hoods, hobs, gas stoves, cooking range, ovens, kitchen accessories and italian chimney."
Sureprint Technologies Private Limited,tel:+91 11 26387315,New delhi - India,Textile printing machinery and equipment,"Textile, clothing, leather and shoemaking machinery and equipment",Rotogravure machines for textile transfer printing...,Manufacturer and Exporters of Doctor Blades For Rotogravure and Flexographic Printing & Import Steel.
Monga Plastic,tel:+91 11 25471435,Delhi - India,"Powders and granules, plastic",Plastic products,"Granules, plastic...","Manufacturers and Exporters of Writing Instruments, Paper Ball, Pens, Rubber, Scales, Office Diaries, Paper Ball, Pens, Rubber, Scales, Diary and Hair Combs and also Importers of Plastic Raw Material."
Fujinaga Electric Company Limited,tel:+91 11 26189257,New delhi - India,"Capacitors, fixed",Electrical equipment. Nuclear equipment,"Capacitors, fixed, ceramic...","Exporters & Importers of Electronic Components from Japanese Renowned Makers like Nippon, Murata, Panasonic, Kamaya, Hosiden, Bourns, Sanyo, NDK, TDK, TOKO, TAIYUDEN, NJRC, NEC, UCHIHASHI(ELCUT), SHARP, TOSHIBA, etc."
Luman Auto Moter Systems Private Limited,tel:+91 11 25472564,New delhi - India,"Glass, cement and ceramics",Graphite products,Colloidal graphite products...,"Manufacturer and exporter of filters, air intake systems, light and switches, starters motors and alternators, volvo range, lubricants product, luman product."
Jyoti Metal India,tel:+91 9811078078,New delhi - India,Basic metal products,"Sheets and strips, steel, cold rolled","Stainless steel sheet, surface patterned, cold rolled...","Manufacturer and exporter of stainless steel tubes, steel pipes and pipe fittings."
Fibro Tech Chemicals,tel:+91 11 26809901,New delhi - India,Glass fibre products,"Glass, cement and ceramics",Glass fibres...,"Distributor of fiberglass roving, fibreglass mats, fibre yarn."
West International,tel:+91 11 64627237,Delhi - India,Printing and publishing,Publishing: Educational materials for science and technical studies,"Educational equipment, electrotechnical laboratory...","Manufacturer, Exporter & Importer of Glass Based Laboratory Equipment."
Optics Technology,tel:+91 11 27101383,Delhi - India,"Timber, wooden products, machinery and equipment for the woodworking industry","Cases and boxes, wooden, fitted, decorative and for display","Boxes, wooden, for laboratory instruments...","Manufacturer and exporter of laminar air flow technology, biological safety cabinet, a.C. / pressure modules, fume hoods, clean room instruments and other laboratory instruments."
Medicinea Healthcare Private Limited,tel:+91 11 65007300,New delhi - India,"Health, medical and pharmaceutical",Pharmaceutical preparations for the cardiovascular system,Cardiovascular products...,"Manufacturer, Exporters & Importers of Medical & Surgical Devices, Anti-Infective Drugs, Antifungal, Antivirals, Cardiovascular Drugs, Gastroenterologic Drugs, Hormonal Drugs, Oncology Drugs, Vaccines & Serum, Miscellaneous Drugs."
Abhishek Aircon Appliances Private Limited,tel:+91 11 26848213,New delhi - India,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,"Air conditioners, portable...","FALCON the name now synonymous with latest and best in commercial kitchen equipment’s, cold rooms, liquor bars, offering on turnkey basic firm designing suggesting proper equipments, manufacturing and importing from the best brands around the global for the best in the hospitality industry, industri..."
Em Em Engineers,tel:+91 11 25280269,New delhi - India,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment","Ovens, kilns and furnaces for industrial use","Ovens, infrared, industrial...","Heat treatment furnaces , bell annealing furnace, rotary retort, gas carburising furnace, carbonitriding, pit pot annealing, carburizing, ovens, industrial oven, hardening, gas nitriding, tempering, stress relieving, normalising are the main products of em em engineers which provides wide range of p..."
Delhi Steam System Company,tel:+91 11 26815039,New delhi - India,Hygiene and cleaning,"Brushes, industrial use","Brushes for floor brushing and washing machines, industrial...","Since1993, we Delhi Steam System Co. are a leading multi-discipline firm that believes in quality and manufacturing and trading of high-quality products. Offered products range consists of Iron Table, Electric Steam Boiler, etc. All offered products are made using the high-quality material...."
Overseas Connexion Limited,tel:+91 11 25754461,New delhi - India,"Furniture, domestic",Furniture and linen,"Furniture, domestic, wooden...","Importers of Kitchen Appliances, Kitchen Cabinets, Furniture of Glass & Floor Tiles."
Rohan Electric Company,tel:+91 11 23862781,New delhi - India,Electrical equipment. Nuclear equipment,Switchboards,Chassis/pan assemblies for miniature circuit breakers (MCB)...,"Manufacturer and supplier of electrical wire, electric wires, domestic wire, cable, industrial wire, lamp, switch, MCB and RCCB, Diwali light wire, MCVs and change over, contactor relay, carbon brushes and carbon holder, stabilizer, motor control gear, drilling machine, and impact punch down tool...."
Mohit Rubber Foam India Private Limited,tel:+91 8527290123,New delhi - India,"Pigments, natural, by use","Pigment master batches, rubber manufacture",,"Manufacturer of foam, rebonded foam, bonnell spring, and pocketed spring mattresses."
"Rexxport, Rexxport (Rexxport)",tel:+91 08287515051,Delhi - India,Shipping and forwarding agents,Transportation and logistics services,Freight brokers for sea transport...,"Provides import export service, freight forwarding services, air/sea/ocean freight/cargo services, worldwide shipping and logistics services."
"DigiBuzz Solutions, DigiBuzz Solutions (DigiBuzz Solutions)",,Delhi - India,"Software, internet and intranet","Software, web page design and development","Software, search engine optimisation (SEO)...","DigiBuzz Solutions is the Best Digital Marketing Agency in East Delhi. We helping brands understand how people are discovering their brands and how brand stories are being shared across all digital channels. We specialize in pay-per-click marketing (PPC), search engine optimization (SEO), social med..."
Bensons Surgico,tel:+91 11 25932664,New delhi - India,"Health, medical and pharmaceutical",Ultrasonic equipment for biological and medical applications,"Medical and surgical instruments, ultrasonic...","Bensons Surgico Is Supplier, Manufacturer & Importer of Surgical & Dental Goods & Items, Instruments & Equipments Trader (SNTA), Diagnostic Leonardo Line, Extractive Tools, Implant Surgery, Instruments Traysm, Laboratory Instruments, Periodontal Leonardo, Periodontal Tools, Surgical..."
"Apptians Digital Marketing Agency, Apptians Digital Marketing Agency (Apptians Digital Marketing Agency)",tel:+91 7042202435,New delhi - India,Internet services,Website development services,Information technology (IT) auditing and consulting services...,"Provides digital marketing, app development, iOS app development, android app development, website development and other services."
Padam Electricals Limited,tel:+91 11 27425074,Delhi - India,Garden furniture,Furniture and linen,"Garden furniture, metal...","We are the best House Wire Manufacturers, MCB Box Manufacturers, PVC Tape Manufacturers."
Nath Engineering Works,tel:+91 9312317637,Delhi - India,Kitchen sinks,Furniture and linen,"Furniture and fixtures, sales space...","Manufacturer of commercial kitchen equipment, food warming equipment, griller machine, display counter, commercial kitchen sink, commercial burner stove and commercial pizza oven."
Premier Pigments and Chemicals,tel:+91 9811711226,New delhi - India,Zinc compounds,Chemical base materials,Zinc phosphate...,"Exporter, importer and supplier of liquid additives, specialized products, paint driers, powder additives, synthetic iron oxides, emulsion binders, organic pigments, MHEC, china clay powder, hpmc chemical, methyl cellulose, pigment pastes, redispersible powder polymers, preservatives and phthalocyan..."
Integrated Engineers & Contractors,tel:+91 11 27478881,Delhi - India,"Health, medical and pharmaceutical",Blood transfusion equipment,Blood and vascular pressure measuring equipment...,"Manufacturer, supplier and exporter of compressors, air dryers and their sparesAssociated Companies: Transair Pneumatics Pvt. Limited"
Medi - Tech Inc,tel:+91 11 6964582,New delhi - India,Electric generator sets,Electrical equipment. Nuclear equipment,Electric generators...,"Importer of LCD Display, Micro Controller, PCB Integrated Circuits &Memory Devices. Also Manufacturer of Caller ID Devices & Caller ID Phones."
Interconti Projects Private Limited,tel:+91 11 26145885,New delhi - India,Clothes for women,Clothing and footwear,Jeans for women...,"Manufacturer and importer of table ware, loom woollen carpets, leather garments, leather goods, textile garments, t-shirts, cotton knitted garments, men and children, silk garments, hand tufted woollen carpets, handloom cotton durries, table linen, table covers, napkins and place mats, glass items,..."
Mahendra Paper Trading Company,tel:+91 11 23353671,New delhi - India,Coated and laminated paper and board,Paper and board,"Paper, coated, one side...","Importers of standard newsprint paper, sc offset /glazed newsprint paper, improved newsprint, low weight coated paper (lwc), art paper (c2s) and cromo paper (c1s)."
Sega International,tel:+91 9810148279,Delhi - India,Basic metal products,Raw pig-iron,Raw steel...,"Importer of coated steel products like aluminized steel coil, galvalume steel coil, pre-painted galvalume, galvanized steel, PPGI, GA, EGI, stainless steel pipe and aluminized steel pipe"
Infotrack Library Solutions,tel:+91 11 25624233,New delhi - India,Office document management services,Services to businesses,"Magazine, periodical and newspaper subscription services","Distributor of Scientific Technical, Medical & Management Journals, Magazines for Various Institutional and Corporate Libraries."
Cosmos International Limited,tel:+91 11 26888181,New delhi - India,Agriculture and forestry,Cereals and pseudo cereals,Barley...,"Manufacturers, Importers And Exporters Of Agriculture Machineries and Equipments, Plants and Machinery, Power Distribution and Transmission, Construction Machinery and Equipment, Port Handling Equipments, Health Care - Diagnostic Systems & Technologies, Gems & Jewellery, Water Treatment Plan..."
Spare Mart,tel:+91 11 23830773,Delhi - India,Means of transport,Motor vehicle body spare parts,"Bumpers, energy absorbing, commercial vehicle...","Importer and exporter of engine parts, electrical parts, chassis and suspension, air - conditioning parts, body parts, car accessories and car spare parts."
Hathaway Systems India Private Limited,tel:+91 11 26806708,New delhi - India,"Semi-manufactured products, aluminium and its alloys",Aluminium and aluminium alloy ingots,"Semi-manufactured products, copper...","Manufacturer and exporter of aluminium ingots, copper ingots, brass ingots and zinc ingots.Importer of mixed metal scrap, both ferrous and non-ferrous metal scrap, namely copper, brass, aluminium, zinc"
Cactus Clothing Private Limited,tel:+91 120 2562174,New delhi - India,Clothes for men,"Clothes, ready-made, outsize, for men",Clothes for women...,Manufacturer of ready made garments.
R.R.M Trading Company,tel:+91 9811017416,New delhi - India,Basic metal products,Light metal semi-manufactured products NES,Light alloy stamping and blocking foils...,"Supplier of silver gold stamping foils, plain colors foils, offcuts stamping foils, textile stamping foils, metallic red stamping foils, metallic gold stamping foils, hot stamping foils, metallic pigments, brushed multi-colours, stamping foils, holofoils and holographic...."
Advance Inorganics,tel:+91 11 23935333,Delhi - India,Natural and chemically derived sweeteners for food and beverages,Natural and chemically derived texture agents for food and beverages,Natural and chemically derived flavourings for food and beverages...,"Manufacturer, supplier, importer and exporter of chemicals like phosphate chemical, citrate chemicals, nutritional supplements, zinc citrate chemicals and inorganic salts."
Amb Electronic System Tech Private Limited,tel:+91 11 24506101,New delhi - India,Exhaust system components for internal combustion engine,Engines and mechanical parts,Lambda probes/sensors...,"Manufacturer, Supplier, Importer & Exporter Of IPA Control System, Nitrogen Methanol Control System, LPG & Air Control System, Endo Gas Generator Control System, Carburising, Neutral Haedening Process, Anneling Nitriding, Fine Carburising, Carburing Furnace, Nitriding Furnace, Technological..."
Instamod Air Pipe Private Limited,tel:+91 11 49535588,New delhi - India,"Metal pipework, valves and containers","Pipes and tubes, non-ferrous metals","Pipes and tubes, aluminium...","Manufacturer & Supplier of Aluminum Pipes, Pipe Connector, Compressed Air Piping System, Compressed Air Pipe Fittings. Associated Companies: Eco Pipe Company Limited"
Varn Tools Private Limited,tel:+91 11 28761667,New delhi - India,"Bars, steel and rolled steel",Basic metal products,"Chisels, taps, dies, threaders, manual reamers, drills and similar tools...","Manufacturer and supplier of hand tools, machine tools accessories, precision tools, cutting tools, precision vices, jewellery tools, lubrication tools, magnetic tools and brights bars."
D2S Technologies,tel:+91 11 45082818,New delhi - India,Marketing and merchandising services,Services to businesses,Marketing services for the retail trade...,"D2S Technologies is a leading SEO company offering innovative and high performance SEO services with Web Design, Website Development, Social Media, online reputation management and digital media services in India.D2S Technologies is one of the leading Digital Media agency providing Website Maintenan..."
N. R. Resources,tel:+91 11 45610192,New delhi - India,"Nuts, edible",Cashew nuts,"Nuts, processed...","Manufacturers and Exporters of Cashew Nuts, We also Import Iron-Ore, Chromo Ore & Ferro Alloys which includes Ferro Silicon, Calcium Silicon, Silicon Mrtal, Magnesium Ignots, Magnesium Metal, Ferro Magnese, Silico Magnese, High Carbon Terro Chrome & Low Carbon Ferro Chrome...."
Crossways Vertical Solutions Private Limited,tel:+91 11 41420965,New delhi - India,Adhesive and self-adhesive tapes and rolls,Paper and board,Tapes with polymer based adhesive...,"Distributors & Importer Of Vinyl Electrical Tapes, Insulating & Splicing Tapes, Sealing & Insulating Tapes, Connectors, Electrical Resins, Insulating Papers, Polyester Tapes, Polyimide Tapes, Emi Shielding Tapes, Aerosol & Coatings, Bird / Animal Fault Solution, Joint Heating Solutio..."
Purnima Exports,,New delhi - India,Clothes by fabric,Clothing and footwear,"Clothes, silk...","Purnima Exports Is A Manufacturer, Suppliers, Exporters & Importers Of Women Fashion Apparels & Evening Garments Such As Bridal Wedding Gowns, Designer Wedding Gowns, Designer Bridal Wedding Gowns, Designer Beaded Tunics, Embellished Dresses, Evening Wear, Evening Tops, Hand Embroidery Scarv..."
Jagsonpal Pharmaceuticals Limited,tel:+91 11 26494519,New delhi - India,Raw materials for pharmaceuticals,Chemical base materials,Acetic acid for pharmaceuticals...,"Manufacturer, exporters and importers of capsules, tablets, syrups, bulk drugs, chemicals and drug formulations."
Jayna Steel India,tel:+91 11 42473611,Delhi - India,"Support systems and products, metal","Hardware, ironmongery, cutlery and tools","Bottle holders, cask holders and drainers, metal, domestic...","Manufacturer, supplier and exporter of stainless steel kitchen wares, table wares, bar wares, pet bowls, office accessories, stainless steel bread basket, stainless steel fruit bowls, stainless steel salad bowl set, stainless steel lid bowl set, stainless steel soup strainer and stainless steel vege..."
